% age AD	NGRIP	GRIP	Camp Century	Dye-3	Milcent	Dome C	Dome Fuji	South Pole	Siple Dome
1968	0.83313	NaN	NaN	0.45265	NaN	NaN	NaN	1.1126	0.91815
1967.9	0.83313	NaN	NaN	0.45265	NaN	NaN	NaN	1.1126	0.91815
1967.8	0.83313	NaN	NaN	0.45265	NaN	NaN	NaN	1.1126	0.91815
1967.7	0.83313	NaN	NaN	0.45265	NaN	NaN	NaN	1.1126	0.91815
1967.6	0.83313	NaN	NaN	0.45265	NaN	NaN	NaN	1.1126	0.91815
1967.5	0.97333	NaN	NaN	0.83643	NaN	NaN	NaN	1.1126	1.1607
1967.4	0.97333	NaN	NaN	0.83643	NaN	NaN	NaN	1.1126	1.1607
1967.3	0.97333	NaN	NaN	0.83643	NaN	NaN	NaN	1.1126	1.1607
1967.2	0.97333	NaN	NaN	0.83643	NaN	NaN	NaN	1.1126	1.1607
1967.1	0.97333	NaN	NaN	0.83643	NaN	NaN	NaN	1.1126	1.1607
1967	0.97333	NaN	NaN	0.83643	NaN	NaN	NaN	1.1126	1.1607
1966.9	0.97333	NaN	NaN	0.83643	NaN	NaN	NaN	1.1126	1.1607
1966.8	0.97333	NaN	NaN	0.83643	NaN	NaN	NaN	1.1126	1.1607
1966.7	0.97333	NaN	NaN	0.83643	NaN	NaN	NaN	1.1126	1.1607
1966.6	0.97333	NaN	NaN	0.83643	NaN	NaN	NaN	1.1126	1.1607
1966.5	1.0016	NaN	NaN	0.60026	NaN	NaN	NaN	1.1126	1.1607
1966.4	1.0016	NaN	NaN	0.60026	NaN	NaN	NaN	1.1126	1.1607
1966.3	1.0016	NaN	NaN	0.60026	NaN	NaN	NaN	1.1126	1.1607
1966.2	1.0016	NaN	NaN	0.60026	NaN	NaN	NaN	1.1126	1.1607
1966.1	1.0016	NaN	NaN	0.60026	NaN	NaN	NaN	1.1126	NaN
1966	1.0016	NaN	NaN	0.60026	NaN	NaN	NaN	1.1126	NaN
1965.9	1.0016	NaN	NaN	0.60026	NaN	NaN	NaN	1.1126	NaN
1965.8	1.0016	NaN	NaN	0.60026	NaN	NaN	NaN	1.1126	NaN
1965.7	1.0016	NaN	NaN	0.60026	NaN	NaN	NaN	1.1126	NaN
1965.6	1.0016	NaN	NaN	0.60026	NaN	NaN	NaN	1.1126	NaN
1965.5	1.8509	NaN	NaN	1.0332	NaN	NaN	NaN	1.1126	NaN
1965.4	1.8509	NaN	NaN	1.0332	NaN	NaN	NaN	1.1126	NaN
1965.3	1.8509	NaN	NaN	1.0332	NaN	NaN	NaN	1.1126	NaN
1965.2	1.8509	NaN	NaN	1.0332	NaN	NaN	NaN	1.1126	NaN
1965.1	1.8509	NaN	NaN	1.0332	NaN	NaN	NaN	1.1126	NaN
1965	1.8509	NaN	NaN	1.0332	NaN	NaN	NaN	1.1126	NaN
1964.9	1.8509	NaN	NaN	1.0332	NaN	NaN	NaN	1.1126	NaN
1964.8	1.8509	NaN	NaN	1.0332	NaN	NaN	NaN	1.1126	NaN
1964.7	1.8509	NaN	NaN	1.0332	NaN	NaN	NaN	1.1126	NaN
1964.6	1.8509	NaN	NaN	1.0332	NaN	NaN	NaN	1.1126	NaN
1964.5	0.60754	NaN	NaN	0.67898	NaN	NaN	NaN	1.1126	NaN
1964.4	0.60754	NaN	NaN	0.67898	NaN	NaN	NaN	1.1126	NaN
1964.3	0.60754	NaN	NaN	0.67898	NaN	NaN	NaN	1.1126	NaN
1964.2	0.60754	NaN	NaN	0.67898	NaN	NaN	NaN	1.1126	NaN
1964.1	0.60754	NaN	NaN	0.67898	NaN	NaN	NaN	1.1126	NaN
1964	0.60754	NaN	NaN	0.67898	NaN	NaN	NaN	1.1126	NaN
1963.9	0.60754	NaN	NaN	0.67898	NaN	NaN	NaN	1.1126	NaN
1963.8	0.60754	NaN	NaN	0.67898	NaN	NaN	NaN	1.1126	NaN
1963.7	0.60754	NaN	NaN	0.67898	NaN	NaN	NaN	1.1126	NaN
1963.6	0.60754	NaN	NaN	0.67898	NaN	NaN	NaN	1.1126	NaN
1963.5	1.2035	NaN	NaN	0.62978	NaN	NaN	NaN	1.1126	NaN
1963.4	1.2035	NaN	NaN	0.62978	NaN	NaN	NaN	1.1126	NaN
1963.3	1.2035	NaN	NaN	0.62978	NaN	NaN	NaN	1.1126	NaN
1963.2	1.2035	NaN	NaN	0.62978	NaN	NaN	NaN	1.1126	NaN
1963.1	1.2035	NaN	NaN	0.62978	NaN	NaN	NaN	1.1126	NaN
1963	1.2035	NaN	NaN	0.62978	NaN	NaN	NaN	1.1126	NaN
1962.9	1.2035	NaN	NaN	0.62978	NaN	NaN	NaN	1.1126	NaN
1962.8	1.2035	NaN	NaN	0.62978	NaN	NaN	NaN	1.1126	NaN
1962.7	1.2035	NaN	NaN	0.62978	NaN	NaN	NaN	1.1126	NaN
